Term1,Term2,Term3,TrigramFreq,BigramContextFreq,TrigramProb
ma,entonces,porque,1,2,0.5
mi,corta,edad,1,1,1.0
edad,de,21,1,1,1.0
siiii,dogoooo,&,1,1,1.0
de,21,años,1,1,1.0
q,pachó,&,1,1,1.0
$,q,pachó,1,30,0.03333333333333333
ola,dogo,&,1,1,1.0
21,años,la,1,1,1.0
años,la,paga,1,1,1.0
$,ola,dogo,1,9,0.1111111111111111
$,y,uno,1,64,0.015625
y,uno,que,1,1,1.0
uno,que,no,1,1,1.0
fec_efec_spto,",",fec_vcto_spto,1,1,1.0
$,dnd,gsu,1,2,0.5
$,siiiiiiiiiiiii,&,1,1,1.0
god,de,tiempo,1,1,1.0
canal,god,de,1,1,1.0
",",fec_emision_spto,",",1,1,1.0
fec_emision_spto,",",fec_efec_spto,1,1,1.0
",",fec_efec_spto,",",1,1,1.0
$,canal,god,1,1,1.0
$,mo,ma,1,1,1.0
discord,amigo,&,1,1,1.0
en,discord,amigo,1,2,0.5
",",fec_vcto_spto,",",1,1,1.0
estan,en,discord,1,1,1.0
tambn,estan,en,1,1,1.0
$,tambn,estan,1,4,0.25
consideración,amigo,&,1,1,1.0
dnd,gsu,&,1,1,1.0
mo,ma,&,1,1,1.0
que,no,venia,1,24,0.041666666666666664
$,pi,&,1,1,1.0
num_poliza,",",num_spto,1,1,1.0
",",num_spto,",",1,1,1.0
protocolos,?,&,1,1,1.0
de,protocolos,?,1,1,1.0
ejemplos,de,protocolos,1,1,1.0
tienen,ejemplos,de,1,1,1.0
$,tienen,ejemplos,1,2,0.5
mañana,vemos,&,1,1,1.0
$,mándalo,otra,1,1,1.0
pero,mañana,vemos,1,1,1.0
$,pero,mañana,1,64,0.015625
q,mo,&,1,1,1.0
mmmvreo,q,mo,1,1,1.0
num_spto,",",fec_emision_spto,1,1,1.0
$,mmmvreo,q,1,1,1.0
mándalo,otra,vez,1,1,1.0
tu,consideración,amigo,1,1,1.0
a,tu,consideración,1,3,0.3333333333333333
fec_vcto_spto,",",tip_spto,1,1,1.0
igual,mañana,dile,1,1,1.0
a2000030,where,cod_cia,1,1,1.0
where,cod_cia,=,1,1,1.0
pero,que,bueno,1,2,0.5
$,pero,que,1,64,0.015625
al,profe,&,1,1,1.0
dile,al,profe,1,1,1.0
mañana,dile,al,1,1,1.0
cod_cia,=,1,1,1,1.0
dejamos,a,tu,1,1,1.0
=,1,and,1,1,1.0
1,and,num_poliza,1,1,1.0
$,igual,mañana,1,4,0.25
and,num_poliza,like,1,1,1.0
num_poliza,like,',1,1,1.0
no,venia,&,1,1,1.0
like,',&,1,1,1.0
que,bueno,que,1,4,0.25
from,a2000030,where,1,1,1.0
bueno,que,estasw,1,1,1.0
que,estasw,bn,1,1,1.0
",",tip_spto,",",1,1,1.0
los,dejamos,a,1,1,1.0
$,los,dejamos,1,4,0.25
respuestas,dudosas,&,1,1,1.0
con,respuestas,dudosas,1,1,1.0
$,con,respuestas,1,4,0.25
discord,gsu,&,1,1,1.0
en,discord,gsu,1,2,0.5
mande,en,discord,1,1,1.0
tip_spto,",",txt_motivo_spto,1,1,1.0
los,mande,en,1,1,1.0
",",txt_motivo_spto,from,1,1,1.0
$,los,mande,1,4,0.25
txt_motivo_spto,from,a2000030,1,1,1.0
estasw,bn,amigo,1,1,1.0
a,reenviar,&,1,1,1.0
ni,lo,habías,1,1,1.0
como,sabes,que,1,2,0.5
te,gusta,un,1,1,1.0
dices,porque,es,1,1,1.0
lo,dices,porque,1,1,1.0
se,lo,dices,1,2,0.5
amigo,?,&,1,1,1.0
10,pero,si,1,1,1.0
un,10,pero,1,1,1.0
gusta,un,10,1,1,1.0
me,dijo,raulito,1,7,0.14285714285714285
hay,que,hacer,1,8,0.125
porque,te,gusta,1,2,0.5
decir,porque,te,1,1,1.0
dijo,raulito,que,1,1,1.0
a,decir,porque,1,2,0.5
raulito,que,hay,1,1,1.0
que,hay,que,1,2,0.5
vas,a,decir,1,8,0.125
porque,es,tu,1,3,0.3333333333333333
eso,amigo,?,1,1,1.0
es,tu,amiga,1,3,0.3333333333333333
sale,eso,amigo,1,1,1.0
el,libro,y,1,1,1.0
mandar,el,libro,1,1,1.0
olvidó,mandar,el,1,1,1.0
me,olvidó,mandar,1,2,0.5
se,me,olvidó,1,4,0.25
perodn,se,me,1,1,1.0
$,perodn,se,1,1,1.0
$,sacum,&,1,1,1.0
es,traspasarlas,&,1,1,1.0
$,vientos,&,1,1,1.0
$,te,sale,1,26,0.038461538461538464
un,1,&,1,1,1.0
