Term1,Term2,Term3,TrigramFreq,BigramContextFreq,TrigramProb
creo,si,&,2,4,0.5
siii,solo,que,2,2,1.0
siii,",",creo,2,43,0.046511627906976744
con,tal,de,2,2,1.0
es,cierto,&,2,5,0.4
$,para,la,2,8,0.25
$,si,eso,2,53,0.03773584905660377
de,que,no,2,15,0.13333333333333333
ver,si,mañana,2,14,0.14285714285714285
seguir,recolectando,porque,2,2,1.0
en,el,metro,2,15,0.13333333333333333
$,de,que,2,23,0.08695652173913043
semana,antes,publican,1,1,1.0
tu,has,ido,1,1,1.0
$,tu,has,1,11,0.09090909090909091
enteré,por,fotos,1,1,1.0
antes,publican,la,1,1,1.0
has,ido,a,1,1,1.0
me,enteré,por,1,1,1.0
ido,a,uno,1,1,1.0
solo,me,enteré,1,2,0.5
a,uno,?,1,2,0.5
ver,tocar,&,1,1,1.0
habia,visto,la,1,5,0.2
quieras,ver,tocar,1,1,1.0
me,quieras,ver,1,1,1.0
por,fotos,&,1,1,1.0
cuando,me,quieras,1,2,0.5
asi,cuando,me,1,1,1.0
uno,?,&,1,1,1.0
inicios,de,la,1,1,1.0
una,semana,antes,1,2,0.5
de,la,universidad,1,40,0.025
mira,asi,cuando,1,1,1.0
jajaj,mira,asi,1,1,1.0
$,jajaj,mira,1,4,0.25
ayer,?,&,1,1,1.0
como,ayer,?,1,1,1.0
$,inicios,de,1,1,1.0
publican,la,lista,1,1,1.0
$,si,a,1,53,0.018867924528301886
vez,pasada,que,1,1,1.0
está,mejor,que,1,2,0.5
mejor,que,la,1,2,0.5
no,estuvo,como,1,1,1.0
que,la,otra,1,9,0.1111111111111111
la,otra,en,1,5,0.2
pasada,que,fue,1,1,1.0
otra,en,la,1,1,1.0
lista,de,salones,1,1,1.0
la,que,iba,1,12,0.08333333333333333
la,vez,pasada,1,3,0.3333333333333333
que,iba,&,1,2,0.5
$,yo,eso,1,37,0.02702702702702703
