Term1,Term2,BigramFreq,ContextFreq,BigramProb
que,ahorita,3,578,0.005190311418685121
que,les,3,578,0.005190311418685121
mi,si,3,76,0.039473684210526314
a,dormir,3,343,0.008746355685131196
esta,semana,3,21,0.14285714285714285
hora,&,3,11,0.2727272727272727
no,no,3,328,0.009146341463414634
que,mas,3,578,0.005190311418685121
",",antes,3,515,0.005825242718446602
cuando,lo,3,31,0.0967741935483871
se,te,3,143,0.02097902097902098
como,es,3,54,0.05555555555555555
y,de,3,166,0.018072289156626505
esta,&,3,21,0.14285714285714285
si,mañana,3,279,0.010752688172043012
si,son,3,279,0.010752688172043012
el,calor,3,252,0.011904761904761904
la,hora,3,325,0.009230769230769232
$,esas,3,1514,0.0019815059445178335
todo,bien,3,22,0.13636363636363635
ya,ves,3,175,0.017142857142857144
solo,lo,3,84,0.03571428571428571
>,&,3,3,1.0
serio,que,3,15,0.2
y,le,3,166,0.018072289156626505
una,vez,3,55,0.05454545454545454
zagal,nos,3,5,0.6
porque,se,3,61,0.04918032786885246
de,ia,3,348,0.008620689655172414
si,nos,3,279,0.010752688172043012
parte,del,3,11,0.2727272727272727
razón,",",3,4,0.75
vimos,que,3,3,1.0
se,supone,3,143,0.02097902097902098
es,&,3,163,0.018404907975460124
supone,que,3,3,1.0
3,&,3,12,0.25
yo,te,3,99,0.030303030303030304
el,nombre,3,252,0.011904761904761904
que,íbamos,3,578,0.005190311418685121
$,hay,3,1514,0.0019815059445178335
un,momento,3,68,0.04411764705882353
íbamos,a,3,3,1.0
",",voy,3,515,0.005825242718446602
lo,he,3,190,0.015789473684210527
a,dejar,3,343,0.008746355685131196
noo,",",3,5,0.6
los,primeros,3,86,0.03488372093023256
siii,si,3,84,0.03571428571428571
asi,",",3,26,0.11538461538461539
$,cuando,3,1514,0.0019815059445178335
el,resumen,3,252,0.011904761904761904
gracias,&,3,27,0.1111111111111111
esque,el,3,30,0.1
a,dar,3,343,0.008746355685131196
al,parecer,3,51,0.058823529411764705
lo,vamos,3,190,0.015789473684210527
y,ahora,3,166,0.018072289156626505
a,otro,3,343,0.008746355685131196
uno,de,3,15,0.2
o,al,3,51,0.058823529411764705
a,tu,3,343,0.008746355685131196
cuando,iba,3,31,0.0967741935483871
siento,que,3,4,0.75
escuela,?,3,28,0.10714285714285714
yo,ya,3,99,0.030303030303030304
verdad,&,3,21,0.14285714285714285
que,otra,3,578,0.005190311418685121
mi,&,3,76,0.039473684210526314
$,esa,3,1514,0.0019815059445178335
se,enoje,3,143,0.02097902097902098
iba,en,3,19,0.15789473684210525
que,fui,3,578,0.005190311418685121
desde,la,3,15,0.2
no,recuerdo,3,328,0.009146341463414634
👀,&,3,3,1.0
ahh,",",3,16,0.1875
ya,casi,3,175,0.017142857142857144
el,fin,3,252,0.011904761904761904
ahhh,",",3,21,0.14285714285714285
idea,&,3,5,0.6
$,esos,3,1514,0.0019815059445178335
es,en,3,163,0.018404907975460124
ya,estoy,3,175,0.017142857142857144
la,mitad,3,325,0.009230769230769232
porque,si,3,61,0.04918032786885246
te,fue,3,129,0.023255813953488372
se,van,3,143,0.02097902097902098
siiiiiii,",",3,5,0.6
con,mis,3,71,0.04225352112676056
de,si,3,348,0.008620689655172414
7,&,3,8,0.375
mas,grande,3,46,0.06521739130434782
con,eso,3,71,0.04225352112676056
",",ojala,3,515,0.005825242718446602
una,de,3,55,0.05454545454545454
me,fui,3,217,0.013824884792626729
ya,la,3,175,0.017142857142857144
es,mejor,3,163,0.018404907975460124
this,message,3,3,1.0
uno,&,3,15,0.2
jajajja,",",3,16,0.1875
a,quedar,3,343,0.008746355685131196
la,pelicula,3,325,0.009230769230769232
las,4,3,78,0.038461538461538464
de,nada,3,348,0.008620689655172414
$,apoco,3,1514,0.0019815059445178335
casa,&,3,11,0.2727272727272727
está,buena,3,50,0.06
te,deja,3,129,0.023255813953488372
y,en,3,166,0.018072289156626505
dogo,&,3,4,0.75
la,molestia,3,325,0.009230769230769232
que,las,3,578,0.005190311418685121
es,como,3,163,0.018404907975460124
ahhh,si,3,21,0.14285714285714285
pongo,a,3,4,0.75
ahí,en,3,12,0.25
pero,de,3,140,0.02142857142857143
",",son,3,515,0.005825242718446602
4,&,3,9,0.3333333333333333
de,mi,3,348,0.008620689655172414
$,aun,3,1514,0.0019815059445178335
$,con,3,1514,0.0019815059445178335
mañana,",",3,32,0.09375
si,hoy,3,279,0.010752688172043012
pero,con,3,140,0.02142857142857143
en,este,3,196,0.015306122448979591
ojala,no,3,13,0.23076923076923078
video,?,3,6,0.5
mira,&,3,5,0.6
graciass,&,3,5,0.6
aviso,&,3,7,0.42857142857142855
las,que,3,78,0.038461538461538464
avisas,cuando,3,7,0.42857142857142855
y,los,3,166,0.018072289156626505
entonces,no,3,21,0.14285714285714285
y,te,3,166,0.018072289156626505
",",recuerdo,3,515,0.005825242718446602
que,hasta,3,578,0.005190311418685121
pero,tampoco,3,140,0.02142857142857143
solo,quería,3,84,0.03571428571428571
$,ahhhhh,3,1514,0.0019815059445178335
$,tampoco,3,1514,0.0019815059445178335
cuidado,a,3,6,0.5
de,seguro,3,348,0.008620689655172414
y,les,3,166,0.018072289156626505
es,a,3,163,0.018404907975460124
fin,",",3,5,0.6
hay,clase,3,35,0.08571428571428572
es,mi,3,163,0.018404907975460124
preocupes,",",3,10,0.3
$,ajaaa,3,1514,0.0019815059445178335
no,inventes,3,328,0.009146341463414634
inventes,",",3,3,1.0
más,seguro,3,30,0.1
ah,pues,3,16,0.1875
jaja,",",3,19,0.15789473684210525
nos,vemos,3,26,0.11538461538461539
bueno,al,3,49,0.061224489795918366
yo,&,3,99,0.030303030303030304
en,que,3,196,0.015306122448979591
",",para,3,515,0.005825242718446602
tu,casa,3,51,0.058823529411764705
estuvo,bien,3,11,0.2727272727272727
gerry,&,3,6,0.5
$,un,3,1514,0.0019815059445178335
dijeron,que,3,3,1.0
que,a,3,578,0.005190311418685121
a,ese,3,343,0.008746355685131196
voy,&,3,35,0.08571428571428572
$,ese,3,1514,0.0019815059445178335
bueno,en,3,49,0.061224489795918366
uno,que,3,15,0.2
y,me,3,166,0.018072289156626505
te,respondo,3,129,0.023255813953488372
esa,no,3,21,0.14285714285714285
ese,&,3,29,0.10344827586206896
de,ese,3,348,0.008620689655172414
y,luego,3,166,0.018072289156626505
cuál,es,3,6,0.5
de,méxico,3,348,0.008620689655172414
el,sol,3,252,0.011904761904761904
que,va,3,578,0.005190311418685121
ahora,que,3,27,0.1111111111111111
dijo,a,3,30,0.1
así,me,3,26,0.11538461538461539
",",así,3,515,0.005825242718446602
a,esa,3,343,0.008746355685131196
ni,modo,3,19,0.15789473684210525
me,agrada,3,217,0.013824884792626729
no,va,3,328,0.009146341463414634
los,profes,3,86,0.03488372093023256
la,cabeza,3,325,0.009230769230769232
🥺,🥺,3,5,0.6
$,oye,3,1514,0.0019815059445178335
si,había,3,279,0.010752688172043012
",",con,3,515,0.005825242718446602
en,los,3,196,0.015306122448979591
lo,has,3,190,0.015789473684210527
solo,eran,3,84,0.03571428571428571
llegué,a,3,3,1.0
la,foto,3,325,0.009230769230769232
el,eclipse,3,252,0.011904761904761904
$,igualmente,3,1514,0.0019815059445178335
era,la,3,23,0.13043478260869565
ahorita,me,3,24,0.125
si,hay,3,279,0.010752688172043012
hay,examen,3,35,0.08571428571428572
creí,que,3,4,0.75
no,tienes,3,328,0.009146341463414634
muchas,gracias,3,9,0.3333333333333333
lo,estaba,3,190,0.015789473684210527
inicio,de,3,6,0.5
con,ese,3,71,0.04225352112676056
buen,inicio,3,8,0.375
",",hay,3,515,0.005825242718446602
pena,&,3,7,0.42857142857142855
abajo,&,3,3,1.0
más,que,3,30,0.1
bastante,&,3,5,0.6
foto,&,3,7,0.42857142857142855
la,vez,3,325,0.009230769230769232
nahum,",",3,10,0.3
a,exponer,3,343,0.008746355685131196
igual,me,3,68,0.04411764705882353
nooo,",",3,7,0.42857142857142855
si,estaba,3,279,0.010752688172043012
le,pregunté,3,63,0.047619047619047616
imagino,",",3,5,0.6
serioo,?,3,3,1.0
",",qué,3,515,0.005825242718446602
dia,que,3,11,0.2727272727272727
",",tal,3,515,0.005825242718446602
debes,de,3,4,0.75
si,voy,3,279,0.010752688172043012
eso,de,3,47,0.06382978723404255
esque,me,3,30,0.1
padre,",",3,13,0.23076923076923078
de,chiste,3,348,0.008620689655172414
ni,de,3,19,0.15789473684210525
lunes,&,3,4,0.75
solo,una,3,84,0.03571428571428571
la,pantalla,3,325,0.009230769230769232
se,veía,3,143,0.02097902097902098
opción,es,3,6,0.5
ahhh,ya,3,21,0.14285714285714285
si,vamos,3,279,0.010752688172043012
",",asi,3,515,0.005825242718446602
el,link,3,252,0.011904761904761904
$,@,3,1514,0.0019815059445178335
que,hoy,3,578,0.005190311418685121
si,estuvo,3,279,0.010752688172043012
dice,que,3,8,0.375
a,venir,3,343,0.008746355685131196
co,co,3,4,0.75
que,desde,3,578,0.005190311418685121
padre,&,3,13,0.23076923076923078
gabygod,?,3,57,0.05263157894736842
examen,de,3,15,0.2
",",&,3,515,0.005825242718446602
no,estaba,3,328,0.009146341463414634
de,aqui,3,348,0.008620689655172414
la,fecha,3,325,0.009230769230769232
al,suburbano,3,51,0.058823529411764705
nlp,&,3,5,0.6
el,correo,3,252,0.011904761904761904
$,tengo,3,1514,0.0019815059445178335
mi,me,3,76,0.039473684210526314
"""",&,3,10,0.3
si,le,3,279,0.010752688172043012
semestre,&,3,11,0.2727272727272727
tiempo,de,3,13,0.23076923076923078
no,mucho,3,328,0.009146341463414634
tu,trabajo,3,51,0.058823529411764705
$,bue,3,1514,0.0019815059445178335
son,las,3,29,0.10344827586206896
ganas,de,3,3,1.0
día,de,3,26,0.11538461538461539
le,puedo,3,63,0.047619047619047616
el,otro,3,252,0.011904761904761904
del,protocolo,3,42,0.07142857142857142
gracias,por,3,27,0.1111111111111111
link,&,3,4,0.75
a,una,3,343,0.008746355685131196
a,ir,3,343,0.008746355685131196
se,va,3,143,0.02097902097902098
noop,",",3,4,0.75
