Term1,Term2,BigramFreq,ContextFreq,BigramProb
leyó,nada,1,1,1.0
no,leyó,1,56,0.017857142857142856
pinché,sagal,1,1,1.0
$,pinché,1,416,0.002403846153846154
bien,gaby,1,4,0.25
todo,bien,1,5,0.2
$,todo,1,416,0.002403846153846154
estresó,&,1,1,1.0
se,estresó,1,28,0.03571428571428571
ayudame,&,1,1,1.0
loco,&,1,1,1.0
no,&,1,56,0.017857142857142856
esta,loco,1,15,0.06666666666666667
popue,esta,1,6,0.16666666666666666
fue,&,1,3,0.3333333333333333
se,fue,1,28,0.03571428571428571
sagal,se,1,9,0.1111111111111111
todo,xd,1,5,0.2
madre,todo,1,2,0.5
chingó,a,1,1,1.0
que,chingó,1,61,0.01639344262295082
eto,&,1,1,1.0
$,eto,1,416,0.002403846153846154
oh,no,1,2,0.5
nos,funes,1,20,0.05
$,xdxdxdxd,1,416,0.002403846153846154
de,redes,1,54,0.018518518518518517
profesor,como,1,2,0.5
al,profesor,1,10,0.1
ven,al,1,1,1.0
",",ven,1,64,0.015625
sistemas,",",1,1,1.0
de,sistemas,1,54,0.018518518518518517
chabos,de,1,1,1.0
los,chabos,1,11,0.09090909090909091
que,los,1,61,0.01639344262295082
yo,creo,1,12,0.08333333333333333
redes,&,1,1,1.0
nada,de,1,9,0.1111111111111111
funes,gabygod,1,1,1.0
sabemos,nada,1,1,1.0
no,sabemos,1,56,0.017857142857142856
bien,&,1,4,0.25
$,bien,1,416,0.002403846153846154
local,&,1,1,1.0
en,local,1,17,0.058823529411764705
modificando,en,1,1,1.0
esta,modificando,1,15,0.06666666666666667
ji,&,1,2,0.5
ji,ji,1,2,0.5
$,ji,1,416,0.002403846153846154
sabes,xd,1,1,1.0
no,sabes,1,56,0.017857142857142856
de,brito,1,54,0.018518518518518517
hijos,&,1,1,1.0
estamos,atras,1,6,0.16666666666666666
moralmente,&,1,1,1.0
$,moralmente,1,416,0.002403846153846154
nosotros,te,1,8,0.125
jajjajaja,&,1,1,1.0
$,jajjajaja,1,416,0.002403846153846154
seguros,si,1,1,1.0
estamos,seguros,1,6,0.16666666666666666
no,estamos,1,56,0.017857142857142856
además,",",1,1,1.0
$,además,1,416,0.002403846153846154
sus,hijos,1,2,0.5
antes,de,1,1,1.0
a,sus,1,47,0.02127659574468085
ver,a,1,2,0.5
a,ver,1,47,0.02127659574468085
pasamos,a,1,1,1.0
asi,pasamos,1,3,0.3333333333333333
mejor,&,1,4,0.25
$,mejor,1,416,0.002403846153846154
exceso,&,1,1,1.0
el,exceso,1,47,0.02127659574468085
gusta,el,1,2,0.5
límite,jr,1,1,1.0
atras,de,1,1,1.0
de,ti,1,54,0.018518518518518517
ti,mientras,1,2,0.5
tu,hablas,1,4,0.25
firmado,antes,1,1,1.0
documento,firmado,1,2,0.5
el,documento,1,47,0.02127659574468085
regrese,el,1,1,1.0
nos,regrese,1,20,0.05
es,que,1,13,0.07692307692307693
interesa,es,1,1,1.0
nos,interesa,1,20,0.05
firmar,&,1,1,1.0
a,firmar,1,47,0.02127659574468085
acomodando,el,1,1,1.0
estamos,acomodando,1,6,0.16666666666666666
triste,&,1,2,0.5
no,estoy,1,56,0.017857142857142856
neta,&,1,3,0.3333333333333333
(,neta,1,16,0.0625
chikas,:,1,1,1.0
eso,chikas,1,4,0.25
por,eso,1,20,0.05
triste,por,1,2,0.5
$,estoy,1,416,0.002403846153846154
con,brito,1,18,0.05555555555555555
hablas,con,1,1,1.0
como,nosotros,1,8,0.125
nosotros,vemos,1,8,0.125
vemos,al,1,1,1.0
sesgar,segar,1,2,0.5
',v,1,1,1.0
:,',1,11,0.09090909090909091
si,:,1,22,0.045454545454545456
123,&,1,1,1.0
modelo,123,1,4,0.25
sesgar,",",1,2,0.5
mensaje,sesgar,1,9,0.1111111111111111
",",este,1,64,0.015625
el,modelo,1,47,0.02127659574468085
el,el,1,47,0.02127659574468085
segar,el,1,1,1.0
para,sesgar,1,13,0.07692307692307693
código,",",1,2,0.5
mensaje,para,1,9,0.1111111111111111
$,este,1,416,0.002403846153846154
crean,🙏,1,1,1.0
quien,crean,1,1,1.0
a,quien,1,47,0.02127659574468085
rezarle,a,1,1,1.0
a,rezarle,1,47,0.02127659574468085
gabygod,🙏,1,58,0.017241379310344827
corpus,?,1,2,0.5
y,corpus,1,32,0.03125
documento,y,1,2,0.5
v,&,1,1,1.0
oye,gabygod,1,4,0.25
no,ya,1,56,0.017857142857142856
ya,nada,1,32,0.03125
no,dije,1,56,0.017857142857142856
mejor,no,1,4,0.25
ya,mejor,1,32,0.03125
y,ya,1,32,0.03125
amenazó,josué,1,1,1.0
me,amenazó,1,24,0.041666666666666664
onda,xd,1,1,1.0
que,onda,1,61,0.01639344262295082
ver,que,1,2,0.5
para,ver,1,13,0.07692307692307693
pediamos,para,1,1,1.0
lo,pediamos,1,29,0.034482758620689655
eso,",",1,4,0.25
todo,eso,1,5,0.2
tiene,todo,1,5,0.2
ya,tiene,1,32,0.03125
plabini,ya,1,1,1.0
que,plabini,1,61,0.01639344262295082
decir,&,1,1,1.0
a,decir,1,47,0.02127659574468085
iba,a,1,2,0.5
esto,iba,1,4,0.25
$,esto,1,416,0.002403846153846154
",",documento,1,64,0.015625
$,código,1,416,0.002403846153846154
al,esponjosito,1,10,0.1
pero,si,1,13,0.07692307692307693
ya,solo,1,32,0.03125
ayudar,?,1,1,1.0
va,ayudar,1,8,0.125
?,xd,1,65,0.015384615384615385
existo,?,1,1,1.0
que,existo,1,61,0.01639344262295082
como,que,1,8,0.125
cambiamos,gabygod,1,1,1.0
lo,cambiamos,1,29,0.034482758620689655
quieres,&,1,1,1.0
no,quieres,1,56,0.017857142857142856
👈,🏻,1,1,1.0
sube,de,1,1,1.0
🏻,👈,1,23,0.043478260869565216
👉,🏻,1,1,1.0
mejor,👉,1,4,0.25
más,mejor,1,2,0.5
la,más,1,29,0.034482758620689655
eres,la,1,3,0.3333333333333333
esque,eres,1,3,0.3333333333333333
conocemos,nada,1,1,1.0
no,conocemos,1,56,0.017857142857142856
entiendo,nada,1,1,1.0
no,entiendo,1,56,0.017857142857142856
solo,falta,1,9,0.1111111111111111
falta,las,1,3,0.3333333333333333
